PaperName,URL,LastEdited,Disciplines,Tags
Depression in Someone Who Has Divorce,https://psyarxiv.com/78xhm/,"Oct 7, 2020","['Social and Behavioral Sciences', 'Health Psychology', 'Social health', 'Social and Personality Psychology']","['Depression', 'Divorce', 'Mental Health']"
Psilocybin for Depression: The ACE Model Manual,https://psyarxiv.com/5x2bu/,"Jul 6, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Therapy']",[]
“Unhappiness is my lot”. Or is it? Depression in students who perform or study music as compared to students who do not.,https://psyarxiv.com/q5yz6/,"Sep 20, 2020","['Social and Behavioral Sciences', 'Health Psychology', 'Mental Health']","['anxiety', 'burnout', 'depression', 'higher education', 'music students', 'performance-related pain', 'professional identification']"
Postpartum Depression and Mother-offspring Conflict over Maternal Investment,https://psyarxiv.com/ajxps/,"Dec 8, 2020","['Social and Behavioral Sciences', 'Evolution', 'Parenting', 'Family and Kin', 'Developmental Psychology']","['breastfeeding', 'fatigue', 'infant night waking', 'maternal sleep', 'mother-offspring conflict', 'postnatal depression', 'postpartum depression']"
DEPRESSIONS,https://psyarxiv.com/t68fz/,"Oct 14, 2020",['Psychiatry'],"['Depression', 'Psychiatric Nursing', 'theory']"
Virtue of Charity To Lighten and Relieve Depression Symptoms,https://psyarxiv.com/fu8a2/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Clinical Psychology', 'Intervention Research']","['charity', 'depression', 'spiritual', 'Thomistic']"
"Reinforcement sensitivity, depression and anxiety: A meta-analysis and meta-analytic structural equation model",https://psyarxiv.com/xw7sh/,"Mar 29, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Psychiatry', 'Anxiety Disorders', 'Depressive Disorders']","['Anxiety', 'Depression', 'Meta-analytic structural equation modeling', 'Reinforcement Sensitivity Theory', 'Reward processing']"
Trajectory of Post-traumatic Stress and Depression among Children and Adolescents Following Single-incident trauma,https://psyarxiv.com/52exk/,"May 25, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Trauma and Stress']",[]
Anxiety and Depression from a Dynamic Systems Perspective,https://psyarxiv.com/cdfby/,"Jul 31, 2019","['Social and Behavioral Sciences', 'Developmental Psychology', 'Adolescence', 'Emotion', 'Psychology, other', 'Psychiatry', 'Emotional Development']","['affect', 'Anhedonia', 'anxiety', 'Big Five', 'depression', 'dynamic system', 'emotion', 'episodes', 'individual level', 'major depressive disorder', 'mood', 'Negative affect', 'network', 'Neuroticism', 'personality', 'Temporal levels']"
The Yale Manual for Psilocybin-Assisted Therapy of Depression (using Acceptance and Commitment Therapy as a Therapeutic Frame),https://psyarxiv.com/u6v9y/,"Oct 19, 2020","['Psychiatry', 'Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['Acceptance and Commitment Therapy', 'depression', 'Major Depressive Disorder', 'psilocybin', 'psychedelic', 'psychotherapy']"
Trajectory of Post-traumatic Stress and Depression among Children and Adolescents Following Single-incident trauma,https://psyarxiv.com/52exk/,"May 25, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Trauma and Stress']",[]
"Reinforcement sensitivity, depression and anxiety: A meta-analysis and meta-analytic structural equation model",https://psyarxiv.com/xw7sh/,"Mar 29, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Psychiatry', 'Anxiety Disorders', 'Depressive Disorders']","['Anxiety', 'Depression', 'Meta-analytic structural equation modeling', 'Reinforcement Sensitivity Theory', 'Reward processing']"
Examining Multi-Domain Resilience Among Maltreated and Non-Maltreated Youths: A Prospective Longitudinal Study,https://psyarxiv.com/5zt3f/,"Jul 30, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Trauma and Stress']","['Add Health', 'depression', 'growth mixture modeling', 'maltreatment', 'resilience']"
The Yale Manual for Psilocybin-Assisted Therapy of Depression (using Acceptance and Commitment Therapy as a Therapeutic Frame),https://psyarxiv.com/u6v9y/,"Oct 19, 2020","['Psychiatry', 'Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['Acceptance and Commitment Therapy', 'depression', 'Major Depressive Disorder', 'psilocybin', 'psychedelic', 'psychotherapy']"
"One-year outcomes of a therapist-supported, smartphone-based intervention for elevated symptoms of depression and anxiety",https://psyarxiv.com/mh38y/,"Jul 16, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Therapy', 'Intervention Research', 'Psychiatry', 'Depressive Disorders']","['anxiety', 'depression', 'digital health', 'mHealth', 'online therapy', 'smartphone intervention']"
Paternal Depression & Anxiety During the COVID-19 Pandemic,https://psyarxiv.com/drs9u/,"Nov 30, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Anxiety Disorders', 'Depressive Disorders', 'Mental Disorders']","['anxiety', 'COVID-19', 'depression', 'mental health', 'paternal']"
Inflammation is associated with future depressive symptoms among older adults,https://psyarxiv.com/w95ns/,"Dec 19, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['CRP', 'depression', 'IL-6', 'inflammation', 'TNFα']"
The 52 different symptoms of major depression: lack of content overlap among seven common depression scales,https://psyarxiv.com/vbk59/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Social and Personality Psychology', 'Psychology, other']","['Preprint', 'PsyArXiv']"
Within-subject changes in network connectivity occur during an episode of depression: evidence from a longitudinal analysis of social media posts.,https://psyarxiv.com/6h52d/,"Oct 8, 2020","['Social and Behavioral Sciences', 'Quantitative Methods', 'Quantitative Psychology', 'Linguistics', 'Computational Linguistics', 'Psycholinguistics and Neurolinguistics', 'Clinical Psychology', 'Depressive Disorders', 'Cognitive Psychology', 'Computational Modeling']","['complex systems', 'depression', 'Network theory', 'social media', 'text analysis']"
"Attentional biases in depression: Relation to disorder severity, rumination, and anhedonia",https://psyarxiv.com/3hmyb/,"Mar 9, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Cognitive Psychology', 'Attention', 'Emotion', 'Biases, Framing, and Heuristics', 'Neurocognitive Disorders', 'Depressive Disorders', 'Psychiatry']","['attentional bias', 'depression', 'Experimental Psychopathology']"
"One-year outcomes of a therapist-supported, smartphone-based intervention for elevated symptoms of depression and anxiety",https://psyarxiv.com/mh38y/,"Jul 16, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Therapy', 'Intervention Research', 'Psychiatry', 'Depressive Disorders']","['anxiety', 'depression', 'digital health', 'mHealth', 'online therapy', 'smartphone intervention']"
Inflammation is associated with future depressive symptoms among older adults,https://psyarxiv.com/w95ns/,"Dec 19, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['CRP', 'depression', 'IL-6', 'inflammation', 'TNFα']"
Paternal Depression & Anxiety During the COVID-19 Pandemic,https://psyarxiv.com/drs9u/,"Nov 30, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Anxiety Disorders', 'Depressive Disorders', 'Mental Disorders']","['anxiety', 'COVID-19', 'depression', 'mental health', 'paternal']"
"Attentional biases in depression: Relation to disorder severity, rumination, and anhedonia",https://psyarxiv.com/3hmyb/,"Mar 9, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Cognitive Psychology', 'Attention', 'Emotion', 'Biases, Framing, and Heuristics', 'Neurocognitive Disorders', 'Depressive Disorders', 'Psychiatry']","['attentional bias', 'depression', 'Experimental Psychopathology']"
Complementing Standard Western Measures of Depression with Locally Co-developed Instruments: A Cross-Cultural Study on the Experience of Depression Among the Luo in Kenya,https://psyarxiv.com/v3hef/,"Apr 20, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Assessment', 'Psychiatry']","['cross-cultural', 'cross-cultural psychiatry', 'depression', 'global mental health', 'Kenya', 'Luo', 'sub saharan africa']"
Idiographic network models of social media use and depression symptoms,https://psyarxiv.com/t4hc3/,"May 17, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Health Psychology', 'Social and Personality Psychology', 'Mental Health', 'Quantitative Methods', 'Psychometrics', 'Health-related Behavior', 'Self-esteem']","['depression', 'idiographic', 'loneliness', 'network analysis', 'self-esteem', 'social media']"
"GROUPS 4 HEALTH versus Cognitive Behaviour Therapy in young people with depression and loneliness: a randomized, phase 3, non-inferiority trial with 12 month follow-up",https://psyarxiv.com/5zhjs/,"Apr 9, 2021","['Psychiatry', 'Social and Behavioral Sciences', 'Health Psychology', 'Social health', 'Social and Personality Psychology', 'Clinical Psychology']","['adolescence', 'depression', 'group psychotherapy', 'loneliness', 'mental health', 'mood disorders', 'social identity', 'social isolation', 'youth']"
The Indirect Effects of Disordered Social Media Use on Stress and Depression via Fear of COVID-19,https://psyarxiv.com/dbg62/,"Jun 9, 2021","['Social and Behavioral Sciences', 'Psychology, other']","['COVID-19', 'Depression', 'Social Media', 'Stress']"
Learning to manage depression: A systematic review and meta-analysis of skills learned in therapy as a mediator of improved well-being,https://psyarxiv.com/3jtsq/,"Jul 11, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Intervention Research', 'Therapy', 'Psychotherapy']",[]
Using Network Analysis to Identify Central Symptoms of Adolescent Depression,https://psyarxiv.com/kp7xd/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Developmental Psychology', 'Quantitative Methods', 'Clinical Psychology']","['adolescent', 'depression', 'network analysis']"
"Using network analysis to examine links between individual depression symptoms, inflammatory markers, and covariates",https://psyarxiv.com/5mvz4/,"Aug 13, 2019","['Social and Behavioral Sciences', 'Clinical Psychology', 'Quantitative Methods', 'Psychiatry', 'Life Sciences']",[]
A network perspective on comorbid depression in adolescents with obsessive-compulsive disorder,https://psyarxiv.com/8d9kx/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Clinical Psychology', 'Developmental Psychology']","['Adolescent OCD', 'Adolescent psychopathology', 'Comorbidity', 'Depression', 'Network analysis', 'Obsessive-compulsive disorder', 'OCD']"
"The Effectiveness of Transdiagnostic Group therapy on Anxiety, Depression and Perfectionism for Mothers of Children with Cerebral palsy",https://psyarxiv.com/j9mbz/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Clinical Psychology']","['anxiety', 'cerebral palsy', 'depression', 'perfectionism', 'transdiagnostic']"
A longitudinal assessment of depression and anxiety in the Republic of Ireland during the COVID-19 pandemic,https://psyarxiv.com/4avt6/,"Nov 12, 2020","['Life Sciences', 'Psychiatry', 'Social and Behavioral Sciences', 'Quantitative Methods']","['anxiety', 'coronavirus', 'COVID-19', 'depression', 'longitudinal', 'mental health']"
Attentional bias modification treatment for depression: Study protocol for a randomized controlled trial,https://psyarxiv.com/8ern2/,"Dec 13, 2018","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Intervention Research']","['attentional bias', 'attention bias modification', 'depression']"
A Registered Report of Error-Related Negativity and Reward Positivity as Biomarkers of Depression: P-Curving the Evidence,https://psyarxiv.com/hj6zc/,"Jan 28, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Meta-science', 'Cognitive Psychology']","['anxiety', 'depression', 'ERN', 'ERPs', 'error-related negativity', 'event-related potential', 'feedback negativity', 'FRN', 'meta-analysis', 'p curve', 'performance monitoring', 'reward positivity', 'RewP']"
"Depression and Anxiety Symptoms, Social Support, and Demographic Factors Among Kenyan High School Students",https://psyarxiv.com/q5s63/,"Oct 28, 2019","['Social and Behavioral Sciences', 'Clinical Psychology', 'Anxiety Disorders', 'Clinical Child Psychology', 'Depressive Disorders', 'Mental Disorders']",[]
Symptom centrality and infrequency of endorsement identify adolescent depression symptoms more strongly associated with life satisfaction,https://psyarxiv.com/79hcj/,"Sep 10, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['adolescence', 'depression', 'life satisfaction', 'network analysis', 'symptom-level', 'well-being']"
Correction of medial prefrontal cortex and adrenal gland left/right imbalance by deep brain stimulation for depression in rats,https://psyarxiv.com/4fbxe/,"Oct 1, 2020","['Psychiatry', 'Neuroscience', 'Systems Neuroscience', 'Behavioral Neuroscience']",[]
Depressed Latinx Older Adults’ Shared Decision-Making Preferences,https://psyarxiv.com/6z25r/,"Feb 22, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Mental Disorders']",[]
Reduced Specificity and Increased Overgenerality of Autobiographical Memory Persist as Cognitive Vulnerabilities in Remitted Major Depression: A Meta-Analysis,https://psyarxiv.com/6df42/,"Jul 18, 2021","['Psychiatry', 'Social and Behavioral Sciences', 'Cognitive Psychology', 'Memory', 'Clinical Psychology', 'Depressive Disorders']","['depression', 'major depression', 'memory specificity', 'meta-analysis', 'overgeneral memory', 'remission']"
Attentional bias modification treatment for depression: Study protocol for a randomized controlled trial,https://psyarxiv.com/8ern2/,"Dec 13, 2018","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Intervention Research']",[]
A Registered Report of Error-Related Negativity and Reward Positivity as Biomarkers of Depression: P-Curving the Evidence,https://psyarxiv.com/hj6zc/,"Jan 28, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Meta-science', 'Cognitive Psychology']","['anxiety', 'depression', 'ERN', 'ERPs', 'error-related negativity', 'event-related potential', 'feedback negativity', 'FRN', 'meta-analysis', 'p curve', 'performance monitoring', 'reward positivity', 'RewP']"
A longitudinal assessment of depression and anxiety in the Republic of Ireland during the COVID-19 pandemic,https://psyarxiv.com/4avt6/,"Nov 12, 2020","['Life Sciences', 'Psychiatry', 'Social and Behavioral Sciences', 'Quantitative Methods']","['anxiety', 'coronavirus', 'COVID-19', 'depression', 'longitudinal', 'mental health']"
Automated audiovisual depression analysis,https://psyarxiv.com/zaum3/,"Dec 5, 2018","['Social and Behavioral Sciences', 'Psychology, other', 'Clinical Psychology']",[]
Depression - Psychoedukation in leichter Sprache für unbegleitete minderjährige Flüchtlinge,https://psyarxiv.com/cfqdj/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Clinical Psychology', 'Intervention Research', 'Cultural Psychology', 'Multi-cultural Psychology', 'Psychology, other', 'Developmental Psychology']","['Depression', 'psychoeducation', 'Psychoedukation', 'unaccompanied refugee minors', 'unbegleitete minderjährige Flüchtlinge']"
Behavioral activation method for depression therapy,https://psyarxiv.com/ge8s3/,"Jul 27, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Psychotherapy']","['Depression Therapy', 'method of behavioral activation']"
"Using network analysis to examine links between individual depression symptoms, inflammatory markers, and covariates",https://psyarxiv.com/5mvz4/,"Aug 13, 2019","['Social and Behavioral Sciences', 'Clinical Psychology', 'Quantitative Methods', 'Psychiatry', 'Life Sciences']","['Covariates', 'Depression', 'Inflammation', 'Network analysis', 'Network models']"
A network perspective on comorbid depression in adolescents with obsessive-compulsive disorder,https://psyarxiv.com/8d9kx/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Clinical Psychology', 'Developmental Psychology']",[]
A Smartphone-Assisted Brief Behavioral Intervention for Pregnant Women with Depression: a Study Protocol of a Randomized Controlled Trial,https://psyarxiv.com/bmgzd/,"Nov 18, 2020",['Psychiatry'],"['clinical trial', 'digital technology', 'digital therapy', 'maternal depression', 'psychatry', 'psychotherapy', 'smartphone application']"
"Media Consumption and Mental Health during COVID-19 lockdown: A UK Cross-sectional study across England, Wales, Scotland and Northern",https://psyarxiv.com/5d9fc/,"Feb 2, 2021","['Life Sciences', 'Social and Behavioral Sciences']","['Anxiety', 'COVID-19', 'Depression', 'Media Consumption', 'Mental Health']"
Dissociating cognitive and affective empathy in unipolar depression,https://psyarxiv.com/hqjct/,"Nov 5, 2020","['Social and Behavioral Sciences', 'Psychology, other']","['depression', 'empathy', 'interpersonal reactivity index']"
Affect instability links task-based negativity bias and variability in depressive symptoms,https://psyarxiv.com/gdszp/,"May 24, 2021","['Social and Behavioral Sciences', 'Emotion']","['', 'ambiguity', 'depression', 'ecological momentary assessment', 'facial expressions', 'negativity bias']"
Screening Depression and Anxiety via Brief Measures of Psychological Inflexibility,https://psyarxiv.com/rwhgj/,"Jul 10, 2021","['Social and Behavioral Sciences', 'Health Psychology', 'Mental Health', 'Prevention', 'Psychology, other']","['anxiety', 'depression', 'mental health', 'psychological inflexibility', 'screening']"
Inflammatory Phenotype of Depression Symptom Structure: A Network Perspective,https://psyarxiv.com/frkhj/,"Dec 14, 2020","['Social and Behavioral Sciences', 'Health Psychology', 'Psychiatry', 'Clinical Psychology', 'Depressive Disorders']","['CRP', 'depression', 'inflammation', 'moderation', 'network analysis', 'structure', 'symptom-level']"
"Depression and anxiety among paediatric and adult in-patients with dengue fever in Metro Manila, Philippines",https://psyarxiv.com/6jnzx/,"Jun 15, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Anxiety Disorders', 'Psychiatry', 'Health Psychology', 'Health-related Behavior', 'Illness', 'Mental Health', 'Assessment', 'Depressive Disorders']","['Anxiety', 'Dengue Fever', 'Depression', 'Encephalopathy', 'Infectious Diseases', 'Pediatric Psychiatry']"
Anxiety and depression in the Republic of Ireland during the COVID-19 pandemic,https://psyarxiv.com/8yqxr/,"May 28, 2021","['Social and Behavioral Sciences', 'Life Sciences', 'Quantitative Methods', 'Psychiatry']","['anxiety', 'coronavirus', 'COVID-19', 'depression', 'mental health']"
Prevalence of anxiety and depression in South Asia during COVID-19: A systematic review and meta-analysis,https://psyarxiv.com/q4k5b/,"Nov 2, 2020","['Social and Behavioral Sciences', 'Health Psychology', 'Cultural Psychology', 'Meta-science', 'Clinical Psychology', 'Psychiatry']","['Afghanistan', 'Anxiety', 'Bangladesh', 'Bhutan', 'Coronavirus', 'COVID-19', 'Depression', 'Epidemiology', 'India', 'Maldives', 'Mental Health', 'Nepal', 'Pakistan', 'Pandemic', 'Psychiatry', 'South Asia', 'Sri Lanka', 'Syndemic']"
The psychological distress in students during the COVID-19 crisis: An 8-wave longitudinal study,https://psyarxiv.com/vtfxg/,"Sep 22, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Anxiety Disorders', 'Depressive Disorders']","['anxiety', 'COVID -19 pandemic', 'depression', 'longitudinal study', 'stress', 'students']"
Attenuated sensory precision and contextual prediction error in persistent depression,https://psyarxiv.com/d8pbc/,"May 21, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Neuroscience', 'Computational Neuroscience', 'Depressive Disorders', 'Life Sciences']","['attention', 'depression', 'predictive processing']"
Cross sectional analysis of depression and stress in medical students,https://psyarxiv.com/ymfpb/,"Nov 14, 2018","['Social and Behavioral Sciences', 'Health Psychology', 'Prevention', 'Mental Health', 'Stress', 'Psychiatry']","['burnout', 'depression', 'medical school', 'medical students', 'perceived stress scale', 'PHQ-9', 'prevention', 'risk', 'stress']"
Brief Report: Preliminary evidence that co-rumination fosters adolescents’ depression risk by increasing rumination,https://psyarxiv.com/yqgxk/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Clinical Psychology', 'Developmental Psychology']","['Adolescence', 'Co-rumination', 'depression', 'interpersonal risk', 'rumination']"
Subclinical depression inhibits the sense of agency at the sensorimotor level,https://psyarxiv.com/e7qru/,"Mar 22, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Cognitive Psychology']","['action-effect binding', 'depression', 'intentional binding', 'sense of agency']"
"Psychosocial Stressors, Depression, and Physical Activity among African Americans",https://psyarxiv.com/e2kfq/,"Apr 29, 2019","['Social and Behavioral Sciences', 'Health Psychology', 'Stress', 'Social health', 'Health-related Behavior', 'Prevention']",[]
Impact of measurement frequency on self-reported depressive symptoms: An experimental study in a clinical setting,https://psyarxiv.com/9v38z/,"Nov 26, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Assessment', 'Depressive Disorders']",[]
The Acute and Persisting Impact of COVID-19 on Trajectories of Adolescent Depression: Sex Differences and Social Connectedness,https://psyarxiv.com/74g2d/,"Apr 8, 2021","['Social and Behavioral Sciences', 'Developmental Psychology', 'Adolescence', 'Clinical Psychology', 'Depressive Disorders', 'Psychiatry']","['adolescent', 'COVID-19', 'depression', 'loneliness', 'mental health', 'pandemic', 'social']"
The influence of subjective sleep quality on the association between eveningness and depressive symptoms.,https://psyarxiv.com/qkrsg/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Health Psychology', 'Life Sciences']","['Chronotype', 'depression', 'sleep']"
Symptom-level network analysis distinguishes the unique associations of repetitive negative thinking and experiential avoidance on depression and anxiety in a transdiagnostic clinical sample,https://psyarxiv.com/z7fps/,"Aug 6, 2019","['Social and Behavioral Sciences', 'Clinical Psychology']","['Anxiety', 'Depression', 'Experiential avoidance', 'Network analysis', 'Repetitive negative thinking', 'Transdiagnostic']"
"The Relations between Cultural Life Scripts, Individual Life Stories, and Psychological Distress",https://psyarxiv.com/qvksz/,"Mar 12, 2020","['Social and Behavioral Sciences', 'Cognitive Psychology', 'Clinical Psychology', 'Depressive Disorders', 'Memory', 'Trauma and Stress']","['autobiographical memory', 'cultural life scripts', 'depression', 'individual life scripts', 'psychological distress', 'trauma']"
"Perla: A Conversational Agent for Depression Screening in Digital Ecosystems. Design, Implementation and Validation",https://psyarxiv.com/nfas4/,"Sep 2, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['artificial intelligence', 'chatbot', 'conversational agent', 'depression', 'digital health', 'early diagnosis', 'natural language processing', 'phq-9', 'screening']"
Temporality and affectivity in depression and schizophrenia,https://psyarxiv.com/bkes5/,"Mar 2, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Theory and Philosophy of Science', 'Psychiatry']","['affectivity', 'cognitive science', 'depression', 'embodied cognition', 'phenomenology', 'schizophrenia', 'social interaction', 'temporality']"
The use of culturally adapted and translated depression screening questionnaires with South Asian haemodialysis patients in England,https://psyarxiv.com/jua8m/,"Mar 10, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Assessment', 'Diagnosis', 'Psychiatry']","['cultural adaptation', 'depression', 'end-stage kidney failure', 'haemodialysis']"
PSYCHOLOGICAL DISTRESS EXPERIENCES OF NIGERIANS AMID COVID-19 PANDEMIC,https://psyarxiv.com/9v78y/,"Oct 1, 2020","['Social and Behavioral Sciences', 'Health Psychology', 'Psychiatry', 'Illness', 'Health-related Behavior', 'Mental Health', 'Social health', 'Stress']",[]
Resting State Functional Connectivity and Outcomes of Psychotherapies for Late-life Depression,https://psyarxiv.com/uncsz/,"Feb 4, 2020",['Psychiatry'],[]
Future expectations in clinical depression: biased or realistic?,https://psyarxiv.com/w96k2/,"Jul 9, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['Affective Forecasting', 'Depression', 'Expectations', 'Experience Sampling Methodology', 'Memory Bias']"
"A reassessment of the relationship between depression and all-cause mortality in 3,604,005 participants from 293 studies",https://psyarxiv.com/pu3w7/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Clinical Psychology', 'Quantitative Methods', 'Life Sciences']","['comorbidity', 'death', 'depression', 'major depressive disorder', 'mortality', 'reassessment']"
Profiles of Psychosocial and Clinical Functioning in Adolescence and Risk for Later Depression,https://psyarxiv.com/umc2x/,"Jul 28, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['depression risk', 'latent profiles', 'psychosocial functioning']"
Contributions from resting state functional connectivity and familial risk to early adolescent-onset MDD: Results from the Adolescent Brain Cognitive Development study,https://psyarxiv.com/ypr6d/,"Sep 26, 2020","['Social and Behavioral Sciences', 'Developmental Psychology', 'Adolescence', 'Neuroscience', 'Cognitive Neuroscience', 'Psychiatry']","['Adolescence', 'Depression', 'Familial risk', 'Functional Connectivity']"
The factor structure of the Edinburgh Postnatal Depression Scale among perinatal high-risk and community samples in London,https://psyarxiv.com/dyvej/,"Jul 24, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Assessment', 'Anxiety Disorders']",[]
Adolescent Emotion Network Dynamics in Daily Life and Implications for Depression,https://psyarxiv.com/7j92y/,"May 15, 2019","['Social and Behavioral Sciences', 'Developmental Psychology', 'Clinical Psychology']","['adolescence', 'depression', 'Emotion network density', 'emotion regulation', 'Intensive repeated measures']"
Anticipatory Pleasure for Future Experiences in Schizophrenia-Spectrum Disorders and Major Depression: A Systematic Review and Meta-Analysis,https://psyarxiv.com/gk9dy/,"Jul 7, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Psychiatry', 'Psychotic Disorders', 'Depressive Disorders']",['anticipatory pleasure; anhedonia; schizophrenia; major depression; meta-analysis']
Heterogeneity of treatment effects in trials on psychotherapy of depression,https://psyarxiv.com/mqzvy/,"Nov 25, 2020","['Meta-science', 'Psychiatry', 'Social and Behavioral Sciences', 'Clinical Psychology']","['bayesian', 'depression', 'meta-regression']"
An evaluation of the efficacy of two add-on ecological momentary intervention modules for depression in a pragmatic randomized controlled trial (ZELF-i),https://psyarxiv.com/8jfgc/,"Jan 4, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Intervention Research', 'Depressive Disorders', 'Psychiatry']","['depression', 'ecological momentary assessment', 'experience sampling', 'intervention', 'mhealth', 'personalized medicine']"
