PaperName,URL,LastEdited,Categories,Source
Etiology and pathogenesis of depression.,/bnek7,"Jul 21, 2020","['Medicine and Health Sciences', 'Psychiatry and Psychology', 'Mental Disorders', 'Medical Sciences', 'Mental and Social Health']",OSF Preprints
“Unhappiness is my lot”. Or is it? Depression in students who perform or study music as compared to students who do not.,https://psyarxiv.com/q5yz6/,"Sep 20, 2020","['Social and Behavioral Sciences', 'Psychology', 'Health Psychology']",PsyArXiv
"Impaired Social Skills as a Key Component of Clinical Depression: Associations with Severity of Illness, Self-Esteem, Family Functional Health Satisfaction, and Personality Features",http://dx.doi.org/10.20944/PREPRINTS202005.0122.V1,"May 7, 2020",[],Preprints.org
Postpartum Depression and Mother-offspring Conflict over Maternal Investment,https://psyarxiv.com/ajxps/,"Dec 8, 2020","['Life Sciences', 'Ecology and Evolutionary Biology', 'Evolution', 'Social and Behavioral Sciences', 'Psychology', 'Child Psychology']",PsyArXiv
Is Financial Friction Irrelevant to the Great Depression? - Simple modification of the Carlstrom-Fuerst model -,http://www.rieti.go.jp/jp/publications/dp/04e030.pdf,"Nov 24, 2016",[],RePEc
Depression and antidepressants in Australia and beyond: A critical public health analysis,https://thesiscommons.org/7wue6/,"Oct 29, 2018","['Medicine and Health Sciences', 'Public Health', 'Epidemiology', 'Mental and Social Health', 'Clinical Epidemiology', 'Psychiatry and Psychology']",Thesis Commons
Ambient air pollution and depressive symptoms,http://peerj.com/preprints/757v1,"Dec 22, 2014",['Epidemiology'],PeerJ
Chronic and Proximate Depression among Mothers: Implications for Child Well-being,http://crcw.princeton.edu/workingpapers/WP10-07-FF.pdf,"Feb 5, 2015",[],RePEc
Maternal Depression and Childhood Health Inequalities,http://crcw.princeton.edu/workingpapers/WP10-08-FF.pdf,"Mar 17, 2016",[],RePEc
Anticipating the Great Depression? Gustav Cassel's Analysis of the Interwar Gold Standard,http://www.nber.org/papers/w17597.pdf,"Nov 13, 2014",[],RePEc
"Some Green is Better than Nothing: Associations between Dfferent Measurements of Land Patterns and Depression among Nursing Students in El Paso, Texas",http://dx.doi.org/10.20944/PREPRINTS202010.0236.V1,"Oct 12, 2020",[],Preprints.org
Virtue of Charity To Lighten and Relieve Depression Symptoms,https://psyarxiv.com/fu8a2/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Counseling Psychology']",PsyArXiv
DEPRESSIONS,https://psyarxiv.com/t68fz/,"Oct 14, 2020","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
The role of rare copy number variants in depression,http://www.biorxiv.org/content/early/2018/07/27/378307,"Jul 27, 2018",[],bioRxiv
Effects of depression on prefrontal striatal goal directed and habitual control,http://www.biorxiv.org/content/early/2018/07/31/381152,"Jul 31, 2018",[],bioRxiv
Depression Linked to Frequent Emergency Department Use in Large 10-year Retrospective Analysis of an Integrated Health Care System,http://biorxiv.org/content/early/2017/03/09/115238,"Mar 9, 2017","['Epidemiology', 'Biology']",bioRxiv
A cross-country analysis of the risk factors for depression at the micro and macro level,http://cienciassociales.edu.uy/departamentodeeconomia/wp-content/uploads/sites/2/2013/archivos/1909.pdf,"Dec 17, 2015",[],RePEc
Anxiety and Depression from a Dynamic Systems Perspective,https://psyarxiv.com/cdfby/,"Jul 31, 2019","['Social and Behavioral Sciences', 'Psychology', 'Developmental Psychology', 'Child Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
No Associations in Preregistered Study of Youth Depression and Functional Connectivity of Fronto-parietal and Default Mode Networks,https://psyarxiv.com/7gzkj/,"Nov 24, 2020","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry', 'Life Sciences', 'Neuroscience and Neurobiology', 'Developmental Neuroscience']",PsyArXiv
"Maternal depression, child temperament, and early life stress predict never-depressed preadolescents’ functional connectivity during a negative mood induction",https://psyarxiv.com/x6knz/,"Jun 7, 2021","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry', 'Social and Behavioral Sciences', 'Psychology', 'Child Psychology', 'Clinical Psychology', 'Life Sciences', 'Neuroscience and Neurobiology']",PsyArXiv
Trade and the Canadian Great Depression,,"Nov 17, 2016",[],RePEc
An Examination of Research that Focuses on the Psychological Causes of Depression,/rjuqx,"Oct 10, 2018","['Social and Behavioral Sciences', 'Psychology', 'Medicine and Health Sciences']",OSF Preprints
Short but Continuous Natural Pain for Depression Treatment and Beyond,http://dx.doi.org/10.20944/PREPRINTS201805.0411.V1,"May 28, 2018",[],Preprints.org
Body Weight and Depression: A Simultaneous Equation Approach,http://purl.umn.edu/205335,"Jul 30, 2015",[],RePEc
A Cross-Country Analysis of the Risk Factors for Depression at the Micro and Macro Level,http://www.iadb.org/research/pub_hits.cfm?pub_id=IDB-WP-195&pub_file_name=pubIDB-WP-195.pdf,"Jun 19, 2014",[],RePEc
Parental Depression and Children’s Developmental Outcomes: The Mediating Influence of Parenting Behavior,http://crcw.princeton.edu/workingpapers/WP08-17-FF.pdf,"Feb 5, 2015",[],RePEc
Self-Dislike and Sadness are Central Symptoms of Depression in College Students: A Network Analysis,https://psyarxiv.com/fujmb/,"Feb 4, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
An Examination of Research that Focuses on the Psychological Causes of Depression,/4swau,"Oct 8, 2018","['Social and Behavioral Sciences', 'Psychology']",OSF Preprints
Trajectory of Post-traumatic Stress and Depression among Children and Adolescents Following Single-incident trauma,https://psyarxiv.com/52exk/,"May 25, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
"Religion, religiosity and depression: re-assessing their relationship",http://cienciassociales.edu.uy/departamentodeeconomia/wp-content/uploads/sites/2/2013/archivos/1412.pdf,"Dec 10, 2015",[],RePEc
Depression Linked to Frequent Emergency Department Use in Large 10-year Retrospective Analysis of an Integrated Health Care System,http://dx.doi.org/10.1101/115238,"Mar 9, 2017",[],bioRxiv
"Depression, Masculine Norm Adherence, and Fathering Behavior",http://osf.io/u6vhk/,"Aug 20, 2018","['Social and Behavioral Sciences', 'Sociology', 'Medicine and Health', 'Domestic and Intimate Partner Violence']",SocArXiv
Stigma and Life Satisfaction among Out-of-School Korean Youths: The Mediating Roles of Self-Esteem and Depression,http://dx.doi.org/10.20944/PREPRINTS202008.0606.V1,"Aug 27, 2020",[],Preprints.org
Real Business Cycle Theory and the Great Depression : The Abandonment of the Absentionist Viewpoint,http://sites.uclouvain.be/econ/DP/IRES/2005-54.pdf,"Sep 29, 2016",[],RePEc
Parental Depression and Children’s Developmental Outcomes: The Mediating Influence of Parenting Behavior,http://crcw.princeton.edu/workingpapers/WP08-17-FF.pdf,"Aug 15, 2013",[],RePEc
Trajectory of Post-traumatic Stress and Depression among Children and Adolescents Following Single-incident trauma,https://psyarxiv.com/52exk/,"May 25, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Short but Continuous Natural Pain for Depression Treatment and Beyond,http://dx.doi.org/10.20944/PREPRINTS201805.0411.V1,"May 28, 2018",[],Preprints.org
Body Weight and Depression: A Simultaneous Equation Approach,http://purl.umn.edu/205335,"Jul 30, 2015",[],RePEc
A Cross-Country Analysis of the Risk Factors for Depression at the Micro and Macro Level,http://www.iadb.org/research/pub_hits.cfm?pub_id=IDB-WP-195&pub_file_name=pubIDB-WP-195.pdf,"Jun 19, 2014",[],RePEc
Parental Depression and Children’s Developmental Outcomes: The Mediating Influence of Parenting Behavior,http://crcw.princeton.edu/workingpapers/WP08-17-FF.pdf,"Feb 5, 2015",[],RePEc
Self-Dislike and Sadness are Central Symptoms of Depression in College Students: A Network Analysis,https://psyarxiv.com/fujmb/,"Feb 4, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Relationship Dynamics around Depression in Gay and Lesbian Couples,http://osf.io/cf8c2/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Sociology', 'Family, Life Course, and Society', 'Medicine and Health', 'Gender and Sexuality']",SocArXiv
Trade and the Canadian Great Depression,,"Nov 17, 2016",[],RePEc
An Examination of Research that Focuses on the Psychological Causes of Depression,/rjuqx,"Oct 10, 2018","['Social and Behavioral Sciences', 'Psychology', 'Medicine and Health Sciences']",OSF Preprints
No Associations in Preregistered Study of Youth Depression and Functional Connectivity of Fronto-parietal and Default Mode Networks,https://psyarxiv.com/7gzkj/,"Nov 24, 2020","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry', 'Life Sciences', 'Neuroscience and Neurobiology', 'Developmental Neuroscience']",PsyArXiv
The Great Depression,http://www.nber.org/papers/h0062.pdf,"Apr 3, 2014",[],RePEc
Fiscal Centralization: Theory and Evidence from the Great Depression,,"Sep 15, 2016",[],RePEc
MFCC-based Recurrent Neural Network for Automatic Clinical Depression Recognition and Assessment from Speech,http://arxiv.org/abs/1909.07208v1,"Sep 16, 2019",[],arXiv
Isolating the Effect of Major Depression on Obesity: Role of Selection Bias,http://www.nber.org/papers/w17068.pdf,"Feb 5, 2015",[],RePEc
"Reinforcement sensitivity, depression and anxiety: A meta-analysis and meta-analytic structural equation model",https://psyarxiv.com/xw7sh/,"Mar 29, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Views from the periphery: Bulgarian economist during the Great Depression,,"Oct 9, 2014",[],RePEc
Elasticity of factor substitution and the rise in labor's share of income during the Great Depression,http://hal.archives-ouvertes.fr/hal-00419343/document,"Nov 12, 2015",[],RePEc
Early Retirement and Public Disability Insurance Applications: Exploring the Impact of Depression,http://www.nber.org/papers/w12237.pdf,"Apr 3, 2014",[],RePEc
Expectations and Forecasting during the Great Depression: Real-Time Evidence from the Business Press,http://www2.gwu.edu/~forcpgm/2016-011.pdf,"Nov 24, 2016",[],RePEc
Short but Continuous Natural Pain for Depression Treatment and Beyond,http://dx.doi.org/10.20944/PREPRINTS201805.0411.V2,"May 31, 2018",[],Preprints.org
Real Business Cycle Models of the Great Depression.,http://www.cliometrie.org/images/wp/AFC_WP_01-2010.pdf,"Jul 14, 2016",[],RePEc
The Great Depression,http://www.nber.org/papers/h0062.pdf,"Apr 3, 2014",[],RePEc
What - or Who - Started the Great Depression?,http://www.nber.org/papers/w15258.pdf,"Mar 6, 2014",[],RePEc
Fiscal Centralization: Theory and Evidence from the Great Depression,,"Sep 15, 2016",[],RePEc
Short but Continuous Natural Pain for Depression Treatment and Beyond,http://dx.doi.org/10.20944/PREPRINTS201805.0411.V2,"May 31, 2018",[],Preprints.org
The Impact of Depression on Employment of Older Workers in Europe,http://dx.doi.org/10.1787/106DBDAE-EN,"Jan 5, 2017",[],RePEc
Probablistic Prediction of the US Great Recession with Historical Expert,http://www2.warwick.ac.uk/fac/soc/wbs/subjects/emf/research/papers/generaliseddensity.pdf,"Mar 9, 2017",[],RePEc
"Depression presentations, stigma, and mental health literacy: A critical review and YouTube content analysis",https://psyarxiv.com/z7mjg/,"Mar 15, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Orbitofrontal Cortex Grey Matter Volume is Related to Children's Depressive Symptoms,https://psyarxiv.com/5dbg4/,"Sep 26, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Life Sciences', 'Neuroscience and Neurobiology', 'Medicine and Health Sciences', 'Psychiatry and Psychology', 'Mental Disorders']",PsyArXiv
Can Great Depression Theories Explain the Great Recession?,http://mpra.ub.uni-muenchen.de/19781/1/MPRA_paper_19781.pdf,"Aug 20, 2015",[],RePEc
Within-subject changes in network connectivity occur during an episode of depression: evidence from a longitudinal analysis of social media posts.,https://psyarxiv.com/6h52d/,"Oct 8, 2020","['Social and Behavioral Sciences', 'Psychology', 'Quantitative Psychology', 'Linguistics', 'Computational Linguistics', 'Psycholinguistics and Neurolinguistics', 'Clinical Psychology', 'Cognitive Psychology']",PsyArXiv
Impact of Service User Video Presentations on Explicit and Implicit Stigma toward Mental Illness among Medical Students in Nepal: A Randomized Controlled Trial,http://dx.doi.org/10.20944/PREPRINTS202012.0754.V1,"Dec 30, 2020",[],Preprints.org
"A Nomothetic Network Model Disclosing the Comorbidity of Depression and Unstable Angina: Effects of Atherogenicity, Insulin Resistance, Immune Activation, Antioxidants, the Endogenous Opioid System, Trace Elements, and Macrominerals",http://dx.doi.org/10.20944/PREPRINTS202009.0053.V1,"Sep 3, 2020",[],Preprints.org
Ohlin on the Great Depression. The popular message in the daily press,http://swopec.hhs.se/hastef/papers/hastef0431.pdf,"Feb 11, 2016",[],RePEc
Additive genetic and environmental contributions to the longitudinal association between violent victimization and depression,http://dx.doi.org/10.1101/164194,"Jul 16, 2017",[],bioRxiv
Unobserved Factors Linking Functional Decline and Depression Among the Oldest Americans,http://mpra.ub.uni-muenchen.de/31949/1/MPRA_paper_31949.pdf,"Aug 20, 2015",[],RePEc
"Attentional biases in depression: Relation to disorder severity, rumination, and anhedonia",https://psyarxiv.com/3hmyb/,"Mar 9, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Cognitive Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Complementing Standard Western Measures of Depression with Locally Co-developed Instruments: A Cross-Cultural Study on the Experience of Depression Among the Luo in Kenya,https://psyarxiv.com/v3hef/,"Apr 20, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
"Depression, Negative Emotionality, and Self-Referential Language: A Multi-Lab, Multi-Measure, and Multi-Language-Task Research Synthesis_Tackman et al_Preprint",/27r94,"Jul 2, 2018","['Social and Behavioral Sciences', 'Psychology', 'Social Psychology', 'Personality and Social Contexts']",OSF Preprints
Idiographic network models of social media use and depression symptoms,https://psyarxiv.com/t4hc3/,"May 17, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Health Psychology', 'Personality and Social Contexts', 'Quantitative Psychology', 'Social Psychology']",PsyArXiv
Network Analysis Reveals Central Symptoms of Adolescent Depression and Anxiety in Sub-Saharan Africa,https://psyarxiv.com/dv6c9/,"Mar 24, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Height and well-being amongst older Europeans,http://www.ucd.ie/t4cms/wp10_36.pdf,"Jul 10, 2014",[],RePEc
"One-year outcomes of a therapist-supported, smartphone-based intervention for elevated symptoms of depression and anxiety",https://psyarxiv.com/mh38y/,"Jul 16, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Counseling Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Inflammation is associated with future depressive symptoms among older adults,https://psyarxiv.com/w95ns/,"Dec 19, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Paternal Depression & Anxiety During the COVID-19 Pandemic,https://psyarxiv.com/drs9u/,"Nov 30, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Psychiatry and Psychology', 'Mental Disorders']",PsyArXiv
The Gold-Exchange Standard and the Great Depression,http://www.escholarship.org/uc/item/9qz440tq.pdf,"Jul 18, 2013",[],RePEc
Did International Economic Forces Cause the Great Depression?,http://www.escholarship.org/uc/item/27p2v5zm.pdf,"Jul 18, 2013",[],RePEc
France in the Early Depression of the Thirties,http://www.cepii.fr/PDF_PUB/wp/1996/wp1996-06.pdf,"Oct 6, 2016",[],RePEc
"A Nomothetic Network Model Disclosing the Comorbidity of Depression and Unstable Angina: Effects of Atherogenicity, Insulin Resistance, Immune Activation, Antioxidants, the Endogenous Opioid System, Trace Elements, and Macrominerals",http://dx.doi.org/10.20944/PREPRINTS202009.0053.V1,"Sep 3, 2020",[],Preprints.org
Impact of Service User Video Presentations on Explicit and Implicit Stigma toward Mental Illness among Medical Students in Nepal: A Randomized Controlled Trial,http://dx.doi.org/10.20944/PREPRINTS202012.0754.V1,"Dec 30, 2020",[],Preprints.org
Additive genetic and environmental contributions to the longitudinal association between violent victimization and depression,http://dx.doi.org/10.1101/164194,"Jul 16, 2017",[],bioRxiv
Ohlin on the Great Depression. The popular message in the daily press,http://swopec.hhs.se/hastef/papers/hastef0431.pdf,"Feb 11, 2016",[],RePEc
Unobserved Factors Linking Functional Decline and Depression Among the Oldest Americans,http://mpra.ub.uni-muenchen.de/31949/1/MPRA_paper_31949.pdf,"Aug 20, 2015",[],RePEc
"Depression, Negative Emotionality, and Self-Referential Language: A Multi-Lab, Multi-Measure, and Multi-Language-Task Research Synthesis_Tackman et al_Preprint",/27r94,"Jul 2, 2018","['Social and Behavioral Sciences', 'Psychology', 'Social Psychology', 'Personality and Social Contexts']",OSF Preprints
"Attentional biases in depression: Relation to disorder severity, rumination, and anhedonia",https://psyarxiv.com/3hmyb/,"Mar 9, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Cognitive Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Complementing Standard Western Measures of Depression with Locally Co-developed Instruments: A Cross-Cultural Study on the Experience of Depression Among the Luo in Kenya,https://psyarxiv.com/v3hef/,"Apr 20, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Idiographic network models of social media use and depression symptoms,https://psyarxiv.com/t4hc3/,"May 17, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Health Psychology', 'Personality and Social Contexts', 'Quantitative Psychology', 'Social Psychology']",PsyArXiv
Future Time Perception and Examination of Depression Terms of Hope,/6rbp5,"May 24, 2021",['Education'],OSF Preprints
Short-term Synaptic Depression Improves Error-correcting Ability in Cortical Circuits,http://arxiv.org/abs/cond-mat/0505749,"May 23, 2007",[],arXiv
Did the Great Depression affect Educational Attainment in the US?,http://mpra.ub.uni-muenchen.de/12302/1/MPRA_paper_12302.pdf,"Aug 20, 2015",[],RePEc
France in the Early Depression of the Thirties,http://www.cepii.fr/PDF_PUB/wp/1996/wp1996-06.pdf,"Oct 6, 2016",[],RePEc
Did the Great Depression affect Educational Attainment in the US?,http://mpra.ub.uni-muenchen.de/12302/1/MPRA_paper_12302.pdf,"Aug 20, 2015",[],RePEc
How Could Everyone Have Been So Wrong? Forecasting The Great Depression With The Railroads,http://www.sas.rutgers.edu/virtual/snde/wp/2002-09.pdf,"Oct 1, 2015",[],RePEc
Crisis and Protectionism: Will History Repeat Itself?,http://eaf.ku.edu.tr/sites/eaf.ku.edu.tr/files/erf_wp_0904.pdf,"Aug 14, 2014",[],RePEc
Short-term Synaptic Depression Improves Error-correcting Ability in Cortical Circuits,http://arxiv.org/abs/cond-mat/0505749,"May 23, 2007",[],arXiv
Periodontal depression. The fundamental cause of periodontal disease and caries.,/dawvt,"Oct 10, 2018","['Medicine and Health Sciences', 'Dentistry', 'Periodontics and Periodontology']",OSF Preprints
CAESAREAN SECTION AND THE RISK OF POSTPARTAL DEPRESSION: IS THERE A POSSIBLE ROLE OF HEAT SHOCK PROTEINS?,/wxfme,"Feb 17, 2020","['Medicine and Health Sciences', 'Psychiatry and Psychology', 'Other Psychiatry and Psychology']",OSF Preprints
Reward learning deficits in Parkinson's disease depend on depression,http://dx.doi.org/10.1101/069062,"Aug 12, 2016","['Biology', 'Neuroscience and Neurobiology']",bioRxiv
A Cross-Country Analysis of the Risk Factors for Depression at the Micro and Macro Level,http://www.iadb.org/document.cfm?pubDetail=1&id=35339317,"May 19, 2016",[],RePEc
Labored Love: Examining the Link Between Maternal Depression and Parenting Behaviors,http://crcw.princeton.edu/workingpapers/WP10-02-FF.pdf,"Mar 17, 2016",[],RePEc
Handedness and depression: a meta-analysis across 87 studies,https://psyarxiv.com/2hqd3/,"Jan 29, 2021","['Social and Behavioral Sciences', 'Life Sciences', 'Neuroscience and Neurobiology', 'Psychology', 'Cognitive Psychology', 'Behavioral Neurobiology', 'Research Methods in Life Sciences']",PsyArXiv
Detecting Depression Using a Framework Combining Deep Multimodal Neural Networks with a Purpose-Built Automated Evaluation,https://psyarxiv.com/vqpcz/,"Dec 24, 2018","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry', 'Engineering', 'Social and Behavioral Sciences', 'Psychology', 'Quantitative Psychology']",PsyArXiv
"GROUPS 4 HEALTH versus Cognitive Behaviour Therapy in young people with depression and loneliness: a randomized, phase 3, non-inferiority trial with 12 month follow-up",https://psyarxiv.com/5zhjs/,"Apr 9, 2021","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry', 'Social and Behavioral Sciences', 'Psychology', 'Health Psychology', 'Personality and Social Contexts', 'Clinical Psychology']",PsyArXiv
Symptoms of fatigue and depression is reflected in altered default mode network connectivity in multiple sclerosis,http://dx.doi.org/10.1101/505974,"Dec 24, 2018",[],bioRxiv
A Heliocentric Journey into Germany's Great Depression,http://econwpa.repec.org/eps/eh/papers/0510/0510002.pdf,"May 21, 2015",[],RePEc
